160,3779907
158,7852173
157,0606079
155,3526001
153,8213501
152,312561
150,8154907
149,3291626
147,8731079
146,4414673
145,0264282
143,6358032
142,2666626
140,9111938
139,5820923
138,2559204
136,8213501
135,5293579
134,265686
132,9981079
131,756897
130,5327759
129,3369751
128,1470337
126,9736938
125,7085571
124,4619751
123,2197876
121,9932251
120,9014282
119,8184204
118,7368774
117,6680298
116,6265259
115,5957642
114,5664673
113,4629517
112,3770142
111,3052368
110,2295532
109,2720337
108,3267212
107,3927155
106,4591217
105,5509186
104,6500397
103,7555084
102,7862701
101,8394928
100,9176178
99,99232483
99,1700592
98,35218811
97,54212952
96,73890686
95,93910217
95,14222717
94,35853577
93,58314514
92,74085999
91,90541077
91,09291077
90,28529358
89,54896545
88,82435608
88,11683655
87,40736389
86,70619202
86,00990295
85,32875061
84,57728577
83,89808655
83,16371155
82,4410553
81,71937561
81,07337952
80,43031311
79,80140686
79,1688385
78,54676819
77,926651
77,24525452
76,57606506
75,91932678
75,33094788
74,74720764
74,1778717
73,60023499
73,02674866
72,4098053
71,85274506
71,23751068
70,6264267
70,01876068
69,41182709
68,86544037
68,32833099
67,79976654
67,28218842
66,76461029
66,2057724
65,69747162
65,14229584
64,58394623
64,08638763
63,54390717
63,0092392
62,47676849
62,00606537
61,53292084
61,07076263
60,60884857
60,15816498
59,66085052
59,21871185
58,76680756
58,32247162
57,87471771
57,39791107
56,96016693
56,52510834
56,09249115
55,67525482
55,24922943
54,82784271
54,41866302
53,97603607
53,52632904
53,08174896
52,68721771
52,29219818
51,86348724
51,46968842
51,09102631
50,67159271
50,28658295
49,91500092
49,54586029
49,14791107
48,74071884
48,37694931
48,01977158
47,62792587
47,26757431
46,91918564
46,53661728
46,19067001
45,81322861
45,47118759
45,13158798
44,79735947
44,42943954
44,09850693
43,74230576
43,39318466
43,04137802
42,72082138
42,41039658
42,10058212
41,78918076
41,48058701
41,18285751
40,84753036
40,51354599
40,18554306
39,85815048
39,52465439
39,20275497
38,9066124
38,63158798
38,34887314
38,07409286
37,79552841
37,52013779
37,2359581
36,9300499
36,62597275
36,32726669
36,03637314
35,76012802
35,49560165
35,22802353
34,97021103
34,70824814
34,45031357
34,18774033
33,90844345
33,62299728
33,34150314
33,07465744
32,81379318
32,57136154
32,32978439
32,09931564
31,85847092
31,58613205
31,35383224
31,0990715
30,84760666
30,59992599
30,37263107
30,1336174
29,90156174
29,67206955
29,4428215
29,21601486
28,99921799
28,75642014
28,51923752
28,28742599
28,05830002
27,82123947
27,6114006
27,38947678
27,17499924
26,96870041
26,76411057
26,53754807
26,31794357
26,09601974
25,86738205
25,63850021
25,41852951
25,21589279
25,01691818
24,82819748
24,63422775
24,43574142
