s;F;;s;F;;s;F;;s;F
13,45413965;33,96253204;;13,43099436;35,95804214;;13,67617523;31,39795494;;13,43170193;35,02709579
13,44412225;34,24988556;;13,42099222;36,26944351;;13,6661731;31,65711021;;13,42070797;35,36437607
13,43412011;34,54761505;;13,41099009;36,58584976;;13,65617096;31,92590904;;13,41070584;35,66540146
13,42411798;34,84217072;;13,40000376;36,9343605;;13,6461612;32,18945694;;13,39971951;35,99999619
13,41411584;35,1317215;;13,38999399;37,25455093;;13,6361438;32,45068741;;13,38970211;36,30456161
13,40312951;35,4553299;;13,37996897;37,57767105;;13,62515747;32,7406044;;13,37967709;36,61242294
13,39312738;35,75684357;;13,36994394;37,89554214;;13,61416352;33,03076553;;13,36965206;36,91039658
13,38310235;36,04944611;;13,35895761;38,23416519;;13,60415375;33,29944229;;13,35866574;37,25231552
13,3730697;36,35010529;;13,34797892;38,58841324;;13,59315979;33,5999794;;13,34767941;37,5941124
13,36207574;36,68518829;;13,33698496;38,93619156;;13,58315003;33,87451553;;13,33668545;37,93468857
13,35109704;37,01258087;;13,32599863;39,2847023;;13,57215607;34,16870499;;13,32569912;38,2795372
13,34010309;37,34436798;;13,31598886;39,61795425;;13,56117737;34,47388077;;13,31568936;38,59753036
13,32911676;37,67053986;;13,3059791;39,94827652;;13,55018341;34,77405167;;13,30567196;38,90392685
13,3181228;38,00208282;;13,29498514;40,30105972;;13,54018128;35,05102921;;13,294678;39,25121689
13,30810541;38,30066681;;13,28497538;40,62283707;;13,52918732;35,35766983;;13,28467587;39,56908798
13,29711145;38,62989044;;13,27495798;40,9553566;;13,51819336;35,67456436;;13,27465847;39,88793564
13,28710931;38,92737579;;13,26494822;41,28201675;;13,50819123;35,96081924;;13,26464108;40,20946884
13,27709192;39,23340607;;13,25493082;41,62381363;;13,49818146;36,24365616;;13,25463131;40,54858017
13,26707452;39,54602814;;13,24492868;41,96097183;;13,48719513;36,56018448;;13,24462655;40,87568665
13,25706476;39,86389923;;13,23394236;42,33914566;;13,47718537;36,84961319;;13,23364023;41,24311829
13,24705499;40,17249298;;13,22297129;42,71341324;;13,46619904;37,16675186;;13,22266916;41,61763
13,23606151;40,52901459;;13,21296915;43,05862808;;13,45521271;37,48523331;;13,21166757;41,99214172
13,22509044;40,88033295;;13,20198282;43,43802261;;13,44520294;37,77368546;;13,20068887;42,36909485
13,21409648;41,22835541;;13,19100412;43,82815933;;13,43519318;38,06616592;;13,18971017;42,7414093
13,20310253;41,59139252;;13,18099436;44,17679214;;13,42419922;38,39307022;;13,17970041;43,08857727
13,19213146;41,94783783;;13,17098459;44,53299332;;13,41418946;38,68811417;;13,16969827;43,43818665
13,18212932;42,28133392;;13,15999063;44,92386246;;13,40320313;39,0251503;;13,15969613;43,78388977
13,17211955;42,61824799;;13,14998087;45,27713394;;13,39319336;39,33130264;;13,14968637;44,13471985
13,1611256;42,9927597;;13,1399711;45,63357925;;13,38317597;39,63428116;;13,1396766;44,49482727
13,15111583;43,3365097;;13,12996897;45,99124527;;13,37315094;39,93945694;;13,12868265;44,8886261
13,14110607;43,68099213;;13,11897501;46,38919449;;13,36314881;40,24731827;;13,11768869;45,2780304
13,13011211;44,06087494;;13,10897287;46,7534523;;13,35217011;40,57886124;;13,10767892;45,64399719
13,12010997;44,40193939;;13,09896311;47,11624527;;13,34118378;40,92285538;;13,09767679;46,00239563
13,11010784;44,74422455;;13,08797678;47,51688004;;13,33019745;41,26636124;;13,08669046;46,40254211
13,10009044;45,08040619;;13,07697519;47,93265152;;13,31920349;41,61096573;;13,07668832;46,76777649
13,08909648;45,46077728;;13,06598886;48,34329605;;13,3091861;41,92175674;;13,06569436;47,16963196
